,index,country_code,geometry,area,samples,boundaries,coords
0,0,FJI,"POLYGON ((180 -16.06713266364245, 180 -16.5552165666392, 179.3641426619641 -16.80135407694688, 178.7250593629971 -17.01204167436804, 178.5968385951171 -16.63915, 179.0966093629971 -16.4339842775474, 179.4135093629971 -16.3790542775474, 180 -16.06713266364245))",0.5887779391886642,[],"[178.5968385951171, -17.01204167436804, 180.0, -16.06713266364245]",[]
1,1,FJI,"POLYGON ((178.12557 -17.50481, 178.3736 -17.33992, 178.71806 -17.62846, 178.55271 -18.15059, 177.93266 -18.28799, 177.38146 -18.16432, 177.28504 -17.72465, 177.67087 -17.38114, 178.12557 -17.50481))",0.9837401142499956,"[[177.50428304875032, -17.681708374019223]]","[177.28504, -18.28799, 178.71806, -17.33992]",[]
2,2,FJI,"POLYGON ((-179.7933201090486 -16.02088225674122, -179.9173693847653 -16.5017831356494, -180 -16.5552165666392, -180 -16.06713266364245, -179.7933201090486 -16.02088225674122))",0.0669929424621183,[],"[-180.0, -16.5552165666392, -179.7933201090486, -16.02088225674122]",[]
3,3,TZA,"POLYGON ((33.90371119710453 -0.9500000000000001, 34.07261999999997 -1.059819999999945, 37.69868999999994 -3.096989999999948, 37.7669 -3.67712, 39.20222 -4.67677, 34.75298985475595 -6.257732428506092, 31.15775133695005 -8.594578747317366, 30.7400097314221 -8.340005930353721, 30.74001549655179 -8.340007419470915, 30.1999967791017 -7.079980970898163, 29.62003217949001 -6.520015150583426, 29.41999271008817 -5.939998874539434, 29.51998660657293 -5.419978936386315, 29.33999759290035 -4.499983412294092, 29.75351240409987 -4.452389418153302, 30.11632000000003 -4.090120000000013, 30.50554 -3.56857999999994, 30.75224000000009 -3.359309999999994, 30.74301000000003 -3.034309999999948, 30.52766000000003 -2.807619999999986, 30.46967364576122 -2.41385475710134, 30.46967000000001 -2.413829999999962, 30.75830895358311 -2.287250257988369, 30.81613488131771 -1.698914076345389, 30.41910485201925 -1.134659112150416, 30.76986000000011 -1.014549999999986, 31.86617000000007 -1.027359999999931, 33.90371119710453 -0.9500000000000001))",41.629231886842426,"[[35.660584639565975, -2.7239110740946204], [37.223207132977485, -5.080121928281525], [38.24215377234189, -4.9304398669323755], [31.490900414788136, -2.3221699232908786], [35.59960652135721, -2.858955899514698], [30.70818418995191, -1.2921738102065954]]","[29.33999759290035, -8.594578747317366, 39.20222, -0.9500000000000001]",[]
4,4,TZA,"POLYGON ((39.20222 -4.67677, 38.74053999999995 -5.908949999999948, 38.79977000000008 -6.475660000000005, 39.44 -6.839999999999861, 39.47000000000014 -7.099999999999966, 39.19468999999998 -7.703899999999976, 39.25203000000005 -8.007809999999949, 39.18652000000009 -8.48550999999992, 39.53574000000009 -9.112369999999885, 39.94960000000003 -10.09840000000003, 40.31658622911085 -10.31709775281749, 40.31659000000002 -10.31709999999987, 39.52099999999996 -10.89688000000001, 38.42755659358775 -11.28520232508166, 37.82763999999997 -11.26878999999991, 37.47128999999995 -11.56876, 36.77515099462281 -11.59453744878081, 36.51408165868426 -11.72093800216673, 35.31239790216904 -11.43914641687915, 34.55998904799935 -11.52002003341592, 34.27999999999997 -10.16000000000003, 33.94083772409653 -9.693673841980285, 33.73972000000009 -9.417149999999992, 32.75937544122132 -9.23059905358906, 32.19186486179194 -8.930358981973257, 31.5563480974665 -8.762048841998642, 31.15775133695005 -8.594578747317366, 34.75298985475595 -6.257732428506092, 39.20222 -4.67677))",34.67273170402914,"[[37.56683623717293, -7.608781878929718], [37.72001854400723, -5.543857673293806], [35.992053200676956, -8.223922185313956], [39.464201755702476, -10.885846810436334]]","[31.15775133695005, -11.72093800216673, 40.31659000000002, -4.67677]",[]
5,5,ESH,"POLYGON ((-8.665589565454809 27.65642588959236, -8.665124477564191 27.58947907155823, -8.684399786809053 27.39574412689601, -8.6872936670174 25.88105621998891, -11.96941891117116 25.93335276946827, -11.93722449385332 23.37459422453617, -12.87422156416958 23.28483226164518, -13.11875444177471 22.77122020109626, -12.92910193526353 21.32707062426756, -16.84519365077399 21.33332347257488, -17.06342322434257 20.99975210213083, -17.02042843267577 21.42231028898158, -17.00296179856109 21.42073415779658, -14.75095455571353 21.50060008390366, -14.63083268885107 21.8609398462749, -14.22116777185725 22.31016307218816, -13.89111039880905 23.6910090194593, -12.50096269372537 24.7701162785782, -12.03075883630163 26.03086619720307, -11.71821977380036 26.10409170176062, -11.39255489749701 26.88342397715439, -10.55126257978527 26.99080760345689, -10.18942420087758 26.86094472910741, -9.735343390328879 26.86094472910741, -9.41303748212448 27.08847606048857, -8.794883999049077 27.12069631602251, -8.817828334986672 27.65642588959236, -8.665589565454809 27.65642588959236))",8.603984207472143,[],"[-17.06342322434257, 20.99975210213083, -8.665124477564191, 27.65642588959236]",[]
6,6,CAN,"POLYGON ((-70.19171271515346 47.03804338037854, -68.65000000000001 48.3, -66.55243 49.1331, -65.05625999999999 49.23278000000001, -64.17099 48.74248, -65.11545000000001 48.07085, -64.79854 46.99297, -64.47219 46.23849000000001, -63.17329000000001 45.73902, -61.52072 45.88377000000001, -60.51815000000001 47.00793, -60.44860000000001 46.28264, -59.80287 45.9204, -61.03988 45.26524999999999, -63.25471 44.67014, -64.69733135892874 45.16256996329692, -64.42549 45.29204, -65.03982316751882 45.27947744403653, -67.79100713712766 46.21857723816655, -67.79046000000001 47.06636, -68.23444000000001 47.35485999999997, -68.90500000000003 47.18500000000006, -69.237216 47.447781, -69.78992840895781 46.90089676881019, -70.19171271515346 47.03804338037854))",16.73088515937912,"[[-63.59254938357725, 45.81992037628136], [-64.64412863005302, 45.97201319542482], [-64.53482200073321, 45.865210111461394], [-68.11727259540487, 48.34868401758405], [-63.11085922537116, 45.74276522494335], [-67.9210930100128, 48.49148891890445]]","[-70.19171271515346, 44.67014, -59.80287, 49.23278000000001]",[]
7,7,CAN,"POLYGON ((-63.25471 44.67014, -64.24656 44.26553000000001, -65.36406000000001 43.54523, -66.1234 43.61867, -66.16173000000001 44.46512, -64.69733135892874 45.16256996329692, -63.25471 44.67014))",2.471298710955498,"[[-65.09463983153698, 44.94090517796168]]","[-66.16173, 43.54523, -63.25471, 45.16256996329692]",[]
8,8,CAN,"POLYGON ((-65.03982316751882 45.27947744403653, -66.02605000000001 45.25931, -67.13741 45.13753, -67.79134000000001 45.70281000000001, -67.79100713712766 46.21857723816655, -65.03982316751882 45.27947744403653))",1.300070656418394,[],"[-67.79134, 45.13753, -65.03982316751882, 46.21857723816655]",[]
9,9,CAN,"POLYGON ((-70.22800254782172 47.00833862792335, -70.19171271515346 47.03804338037854, -69.78992840895781 46.90089676881019, -70.22800254782172 47.00833862792335))",0.008455965470377821,[],"[-70.22800254782172, 46.90089676881019, -69.7899284089578, 47.03804338037854]",[]
