,country_code,geometry,area,samples
0,FJI,"POLYGON ((180 -16.06713266364245, 180 -16.5552165666392, 179.3641426619641 -16.80135407694688, 178.7250593629971 -17.01204167436804, 178.5968385951171 -16.63915, 179.0966093629971 -16.4339842775474, 179.4135093629971 -16.3790542775474, 180 -16.06713266364245))",0.5887779391886642,[]
1,FJI,"POLYGON ((178.12557 -17.50481, 178.3736 -17.33992, 178.71806 -17.62846, 178.55271 -18.15059, 177.93266 -18.28799, 177.38146 -18.16432, 177.28504 -17.72465, 177.67087 -17.38114, 178.12557 -17.50481))",0.9837401142499956,[]
2,FJI,"POLYGON ((-179.7933201090486 -16.02088225674122, -179.9173693847653 -16.5017831356494, -180 -16.5552165666392, -180 -16.06713266364245, -179.7933201090486 -16.02088225674122))",0.0669929424621183,[]
3,TZA,"POLYGON ((33.90371119710453 -0.9500000000000001, 34.07261999999997 -1.059819999999945, 37.69868999999994 -3.096989999999948, 37.7669 -3.67712, 39.20222 -4.67677, 38.74053999999995 -5.908949999999948, 38.79977000000008 -6.475660000000005, 39.44 -6.839999999999861, 39.47000000000014 -7.099999999999966, 39.19468999999998 -7.703899999999976, 39.25203000000005 -8.007809999999949, 39.18652000000009 -8.48550999999992, 39.53574000000009 -9.112369999999885, 39.94960000000003 -10.09840000000003, 40.31658622911085 -10.31709775281749, 40.31659000000002 -10.31709999999987, 39.52099999999996 -10.89688000000001, 38.42755659358775 -11.28520232508166, 37.82763999999997 -11.26878999999991, 37.47128999999995 -11.56876, 36.77515099462281 -11.59453744878081, 36.51408165868426 -11.72093800216673, 35.31239790216904 -11.43914641687915, 34.55998904799935 -11.52002003341592, 34.27999999999997 -10.16000000000003, 33.94083772409653 -9.693673841980285, 33.73972000000009 -9.417149999999992, 32.75937544122132 -9.23059905358906, 32.19186486179194 -8.930358981973257, 31.5563480974665 -8.762048841998642, 31.15775133695005 -8.594578747317366, 30.7400097314221 -8.340005930353721, 30.74001549655179 -8.340007419470915, 30.1999967791017 -7.079980970898163, 29.62003217949001 -6.520015150583426, 29.41999271008817 -5.939998874539434, 29.51998660657293 -5.419978936386315, 29.33999759290035 -4.499983412294092, 29.75351240409987 -4.452389418153302, 30.11632000000003 -4.090120000000013, 30.50554 -3.56857999999994, 30.75224000000009 -3.359309999999994, 30.74301000000003 -3.034309999999948, 30.52766000000003 -2.807619999999986, 30.46967364576122 -2.41385475710134, 30.46967000000001 -2.413829999999962, 30.75830895358311 -2.287250257988369, 30.81613488131771 -1.698914076345389, 30.41910485201925 -1.134659112150416, 30.76986000000011 -1.014549999999986, 31.86617000000007 -1.027359999999931, 33.90371119710453 -0.9500000000000001))",76.30196359087157,"[[30.938887681661946, -1.3967093153271337], [31.6908245445492, -4.692585504509122], [35.36990428461362, -2.2612144849788995], [36.14428097420827, -4.941093804372647], [37.49880242409547, -8.527692697475159], [39.185340773003084, -8.58588104600918], [36.61114583916697, -4.778823407548414], [38.68427497557555, -5.587092440456241], [32.67704700237367, -8.609582645286844], [37.194920822435414, -7.782727433907578], [33.10040985665342, -6.86817895979635], [37.048215356738574, -9.85424509551966], [33.441390768397405, -4.420657371934971], [31.893631467731897, -5.6364722170503025], [32.89313713978728, -1.0246537958976685], [37.779182810247185, -4.114718753303081], [37.567887127111575, -11.208443794334844], [36.13033001794898, -6.195381258680056], [32.97642102925285, -8.612190647871742], [33.436634484815706, -9.189524583441598], [34.35928834630763, -8.881380884124347], [31.019316014860046, -1.0653427833621079], [30.871581461794154, -7.326167813349016], [32.91290210575771, -5.130381915893214], [33.95239904305933, -3.247130523976992], [34.392207726003825, -6.315686620152908], [30.4300235616654, -5.645075042664809], [34.318506825290534, -1.6062206823528224], [33.60438923246678, -4.312837276548897], [31.997251142805407, -7.5495373154443275], [37.673807388006594, -3.530987764682079], [34.48168109167601, -8.556239822769493], [33.41793199691642, -4.175326089758786], [35.4350850879313, -6.322069624262615], [36.302698235632015, -7.344168910674792], [38.682631999209946, -6.658424026488549], [33.68916530877745, -4.696036734800382], [30.68428345858926, -1.4821344121352509], [34.54745746382021, -4.973936124907215], [31.482903206539138, -1.4708131518732324], [34.999177863016314, -6.245852602376297], [39.627976892988194, -9.464195986505784], [33.777120435486125, -9.43444272415512], [35.21160656522503, -6.793490832714532], [39.26931608342154, -10.646102508811644], [33.284971909474415, -2.9505390486598557], [39.25432840477656, -8.66408667956446], [35.86023484760377, -4.260654360620597], [38.23897975755262, -7.770783660203097], [38.48414355812478, -5.196075221527202], [36.64246810463945, -7.489018441923886], [34.39622324390708, -1.5572322483107872], [33.119454071671996, -4.174177164585893], [35.45763387171201, -6.22808717211445], [38.243264378864296, -4.437135254465591], [34.39410145932386, -4.398577153158585], [35.46730657640041, -2.7735108136564084], [35.455150814298, -2.934126437846005]]"
4,ESH,"POLYGON ((-8.665589565454809 27.65642588959236, -8.665124477564191 27.58947907155823, -8.684399786809053 27.39574412689601, -8.6872936670174 25.88105621998891, -11.96941891117116 25.93335276946827, -11.93722449385332 23.37459422453617, -12.87422156416958 23.28483226164518, -13.11875444177471 22.77122020109626, -12.92910193526353 21.32707062426756, -16.84519365077399 21.33332347257488, -17.06342322434257 20.99975210213083, -17.02042843267577 21.42231028898158, -17.00296179856109 21.42073415779658, -14.75095455571353 21.50060008390366, -14.63083268885107 21.8609398462749, -14.22116777185725 22.31016307218816, -13.89111039880905 23.6910090194593, -12.50096269372537 24.7701162785782, -12.03075883630163 26.03086619720307, -11.71821977380036 26.10409170176062, -11.39255489749701 26.88342397715439, -10.55126257978527 26.99080760345689, -10.18942420087758 26.86094472910741, -9.735343390328879 26.86094472910741, -9.41303748212448 27.08847606048857, -8.794883999049077 27.12069631602251, -8.817828334986672 27.65642588959236, -8.665589565454809 27.65642588959236))",8.603984207472143,"[[-13.868078382636083, 21.944637648789925], [-13.899369437118144, 23.459042398190988]]"
5,CAN,"POLYGON ((-122.84 49.00000000000011, -122.97421 49.00253777777778, -124.91024 49.98456, -125.62461 50.41656, -127.43561 50.83061, -127.99276 51.71583, -127.85032 52.32961, -129.12979 52.75538, -129.30523 53.56159, -130.51497 54.28757, -130.5361089527368 54.80275447679924, -130.53611 54.80278000000001, -129.98 55.285, -130.00778 55.91583000000008, -131.70781 56.55212, -132.73042 57.69289000000001, -133.35556 58.41028000000001, -134.27111 58.86111000000005, -134.9450000000001 59.2705600000001, -135.47583 59.78778000000001, -136.47972 59.46389000000005, -137.4525 58.905, -138.34089 59.56211, -139.039 60, -140.013 60.27682000000001, -101.5698221252122 57.74876880357334, -122.84 49.00000000000011))",182.6330043175303,"[[-120.52928880766845, 56.232892442067005], [-109.08561027942262, 58.60099989433043], [-125.28939908898298, 55.233671193578886], [-121.47075080615025, 51.77466931974417], [-126.91294230331049, 60.564456324504256], [-129.24056400135598, 55.86498599090916], [-122.21254593613082, 51.323821674558964], [-121.95842649404207, 50.575491742274785], [-122.66379016938461, 56.733373264527785], [-135.21762549990856, 60.35200050502365], [-121.52647294444512, 59.0213991214053], [-115.94015592734668, 59.60663478754078], [-112.81716106165425, 58.92016613218347], [-113.33895470138091, 58.924697202152124], [-123.20468389055591, 54.47536404423513], [-110.26515531166832, 55.70548012511788], [-128.69671146416374, 55.62707177471656], [-125.38527739032656, 57.1739539600514], [-126.31913009116106, 55.69254426134255], [-127.9335701993432, 56.20129793478778], [-132.85796054712523, 58.35941175752675], [-109.07915633820166, 56.13453769891617], [-108.84991014867553, 57.363612383700605], [-123.22846730275607, 54.66454235179856], [-135.1858237475081, 59.912265461878285], [-122.25969980713347, 56.575402554171305], [-124.84064657101203, 53.695913391615846], [-117.27688875095954, 58.118413065693204], [-122.71263745146281, 50.77022521579967], [-123.77349927796956, 55.45847645693696], [-114.08704279494026, 58.814767789943666], [-123.30269916898112, 56.1765876454649], [-120.78297121135611, 54.60535179702562], [-109.33689106580468, 56.68526043376103], [-113.92805770435348, 54.2979482822951], [-113.58501557688523, 54.00834049402333], [-120.39509435137319, 55.500287788121085], [-112.44790698009062, 54.31550053219697], [-121.50820062729488, 56.459749897275266], [-121.30090966153791, 55.98667107875503], [-120.48874816794934, 53.97322070219053], [-123.77310264171669, 51.75134408718984], [-115.19754637417536, 54.00650974672915], [-117.2579776979047, 56.56879879218464], [-125.95032364480177, 54.71277052391673], [-119.63187132833022, 55.36168601208713], [-114.01129080499697, 54.55535025312005], [-117.62435121845274, 55.6424981064196], [-113.29903980800016, 53.964661270835244], [-129.8653636033394, 54.05156955105453], [-120.57279727135324, 55.52734754927333], [-114.49029405244511, 54.70205091668849], [-122.1140973225826, 51.198039371316504], [-120.42151045718744, 56.2787182574696], [-113.26899639997168, 54.14528770181395], [-114.6456949127271, 53.81322988304801], [-123.01358646944358, 51.38875193947629], [-114.02869577132927, 53.747648433148576], [-126.8867068697268, 51.65239643599324], [-115.41029921623738, 56.57536224678936], [-127.53505619227391, 52.07675173154765], [-117.10648422619927, 55.25007656343527], [-118.65963913856422, 56.27165190221788], [-122.37474560276036, 51.9529973051916], [-118.70139964392992, 55.587565022607016], [-116.4672074370178, 56.13437815911348], [-121.3996523559049, 50.52126792136885], [-114.03682655880519, 54.32683916344557], [-115.6318090419498, 56.00843887427102], [-114.1246957477013, 53.56189783499714], [-117.58248106064632, 56.97587347980504], [-119.21078679820533, 55.114095887117195], [-120.65624250661962, 55.558536318556655], [-112.21486287155771, 54.98299126505767], [-117.54273259695773, 55.69022223458014], [-115.12848983028016, 53.95931676094331], [-117.68743293454779, 56.07825044122173], [-127.63853872924729, 56.25358431854895], [-120.86398999055302, 56.54012920423826], [-113.24776056237923, 54.940782495687365], [-114.79723776996194, 54.12418729524599], [-123.16208998113294, 51.5702579665105], [-116.56822845384616, 58.07120716566721], [-113.98577891002132, 54.106597202580794], [-115.0201049340018, 54.02480814144894], [-117.10265072880455, 55.66043764815501], [-117.80453080749838, 55.77619835506953], [-117.41122475105846, 57.263655049367514], [-119.36359812135682, 55.194800755738314], [-120.02332635780725, 56.03819152456877], [-111.77613364800887, 54.89658922883741], [-118.069453776781, 55.39215229314599], [-120.75836033296027, 56.25654959611556], [-113.26382499768756, 54.32292142003699], [-122.39116305772686, 51.29654691809417], [-112.28914558955128, 54.59837513409283], [-129.37018880608946, 55.05272217340503], [-117.24322800265317, 56.384683237309545], [-112.90885909676285, 54.817422550405695], [-119.68121372246775, 55.885782670750956], [-112.63601678650191, 54.298475821877666], [-116.9661814511637, 55.57981031500988], [-113.8941987873048, 53.95731028580065], [-123.90973184567378, 50.235651471892794], [-120.07938679820592, 55.702818399726475], [-115.023015969346, 53.98789066168336], [-113.2609922395629, 54.325370288391746], [-121.40421357959258, 56.48045460860584], [-114.39691927062732, 53.572299216731885], [-127.84499752601589, 53.04541630909202], [-114.2522154869956, 53.60785487594728], [-120.6403025586747, 56.05853697721412], [-122.7158472884574, 49.13252427294419], [-120.4184321911725, 56.33806327026853], [-114.70615382828927, 53.34247173970653], [-114.73218465358869, 54.181914422377254], [-120.11608237706879, 56.02565192912083], [-126.95124590522663, 56.2231361236163]]"
6,CAN,"POLYGON ((-128.36156 70.01286, -128.13817 70.48384, -127.44712 70.37721000000001, -125.75632 69.48058, -124.42483 70.1584, -124.28968 69.39968999999999, -123.06108 69.56372, -122.6835 69.85553, -121.47226 69.79778, -119.94288 69.37786, -117.60268 69.01128, -116.22643 68.84151, -115.2469 68.90591000000001, -113.89794 68.3989, -115.30489 67.90261000000001, -113.49727 67.68815000000001, -110.798 67.80611999999999, -109.94619 67.98104000000001, -108.8802 67.38144, -107.79239 67.88736, -108.81299 68.31164, -108.16721 68.65392, -106.95 68.7, -106.15 68.8, -105.34282 68.56122000000001, -104.33791 68.018, -103.22115 68.09775, -101.45433 67.64689, -99.90195 67.80566, -98.4432 67.78165, -98.5586 68.40394000000001, -97.66948000000001 68.57864000000001, -97.41980953007921 68.52397921867316, -101.5698221252122 57.74876880357334, -128.36156 70.01286))",151.622604724822,"[[-110.82579490467619, 65.12118758331638], [-101.79397533230866, 60.16082599961285], [-114.4325986360409, 67.04711619151524], [-106.23732731858938, 66.11092917617239], [-99.21679065018651, 65.09785765807545], [-115.08125845833789, 67.73995867594708], [-111.08622465581028, 66.69659434061661], [-124.77264203575211, 69.14200340405006], [-106.63957846143227, 64.93307910709892], [-98.22308098659877, 67.37505650624925], [-102.11234998858228, 63.99357319202922], [-100.7280678823945, 62.19803002733194], [-101.49069677058259, 61.325035223017], [-101.55923435532581, 61.48675892010753], [-119.3899166838089, 67.75893930072836], [-106.96557518878161, 61.99115912788446], [-113.12000724467767, 67.42529162628415], [-105.58050243914064, 65.64463041031003], [-108.29079575391647, 66.41023976166392], [-108.18683268212779, 66.68033850606729], [-102.431002951022, 67.50047156048568], [-106.00252235791547, 61.348777155714956], [-103.28997714066855, 60.32822252536282], [-114.38115979475458, 66.7699407270474], [-108.1375297814548, 68.5567777205189]]"
7,CAN,"POLYGON ((-97.41980953007921 68.52397921867316, -96.11991 68.23939, -96.12588 67.29338, -95.48943 68.0907, -94.685 68.06383, -94.23282000000002 69.06903000000001, -95.30408 69.68571, -96.47131 70.08976, -96.39115 71.19482000000001, -95.2088 71.92053, -93.88997000000001 71.76015, -92.87818 71.31869, -91.51964000000001 70.19129000000001, -92.40692000000001 69.69997000000001, -90.5471 69.49766, -90.55151000000001 68.47499000000001, -89.21514999999999 69.25873, -88.01966 68.61508000000001, -88.31748999999999 67.87338000000001, -87.35017000000001 67.19871999999999, -86.30606999999999 67.92146, -85.57664 68.78456, -85.52197 69.88211, -84.10081000000001 69.80539, -82.62258 69.65826, -81.28043000000001 69.16202000000001, -81.22019999999999 68.66567000000001, -81.96436000000001 68.13253, -81.25928 67.59716, -81.38653000000001 67.11078000000001, -83.34456 66.41154, -84.73542 66.2573, -85.76943 66.55833, -86.06760000000001 66.05625000000001, -87.03143 65.21297, -87.32324 64.77563000000001, -88.48296000000001 64.09897000000001, -89.91444 64.03273, -90.70398 63.61017, -90.77004000000001 62.96021, -91.93342 62.83508, -93.15698 62.02469000000001, -94.24153 60.89865, -94.62930999999999 60.11021, -94.6846 58.94882, -93.31132622199412 58.79304437785382, -101.5698221252122 57.74876880357334, -97.41980953007921 68.52397921867316))",117.70510002804383,"[[-97.2387458519554, 59.86495716063881], [-92.90621291991334, 69.64922976829268], [-95.98179100075694, 60.55403268003201], [-84.62440888009003, 66.73844287960745], [-89.61384584273794, 67.12279954556826], [-94.88530511571241, 59.15182802283109], [-97.3367648149918, 65.7417522183101], [-97.54736457037846, 66.69047292778662], [-90.11625456696164, 68.68525766112113], [-90.33157615232639, 66.89823240850939], [-87.1172842051043, 66.6357853782179], [-93.50550459987538, 67.1076088260044], [-93.05817093073507, 68.5491130210049], [-94.66304096461411, 59.42440305292406], [-96.64784453660171, 61.75356846221117], [-100.19696056457197, 60.835475426006994], [-95.02626109635925, 59.53660333408644], [-85.02924496299718, 67.34926082280472], [-85.42214003808984, 69.00944647484452], [-93.95742616963462, 58.73534938673507], [-96.35218196115785, 58.492523382551916]]"
8,CAN,"POLYGON ((-93.31132622199412 58.79304437785382, -93.21502000000001 58.78212, -93.00607714653412 58.34771463273982, -101.5698221252122 57.74876880357334, -93.31132622199412 58.79304437785382))",2.018035699116682,"[[-95.76350160865253, 58.279416297686055]]"
9,CAN,"POLYGON ((-77.83666514056748 59.40865888954603, -77.33676 59.85261000000001, -77.77272000000001 60.75788000000001, -78.10687 62.31964000000001, -77.41067 62.55053, -75.69621000000001 62.2784, -74.6682 62.18111, -73.83988000000001 62.4438, -72.90853 62.10507, -71.67708 61.52535, -71.37369000000001 61.13717, -69.59041999999999 61.06141, -69.62033 60.22125, -69.55887639277968 59.98760502322388, -77.83666514056748 59.40865888954603))",18.41446640322842,"[[-70.58133883408883, 60.99660318442365], [-75.99905987594232, 60.70820894287315], [-72.0046502638199, 59.94274422124472]]"
