system:index,Albedo_inst,AvgSurfT_inst,CanopInt_inst,ECanop_tavg,ESoil_tavg,EVI,EVI_Amplitude_1,EVI_Amplitude_2,EVI_Minimum_1,EVI_Minimum_2,Evap_tavg,Greenup_1,Greenup_2,LABEL,LC_Type1,LC_Type2,LWdown_f_tavg,Lwnet_tavg,MidGreendown_1,MidGreendown_2,MidGreenup_1,MidGreenup_2,NDVI,NDWI,NumCycles,Peak_1,Peak_2,PotEvap_tavg,Psurf_f_inst,Qair_f_inst,Qg_tavg,Qh_tavg,Qle_tavg,Qs_acc,Qsb_acc,Qsm_acc,Rainf_f_tavg,Rainf_tavg,RootMoist_inst,SWE_inst,SWdown_f_tavg,Senescence_1,Senescence_2,SnowDepth_inst,Snowf_tavg,SoilMoi0_10cm_inst,SoilMoi100_200cm_inst,SoilMoi10_40cm_inst,SoilMoi40_100cm_inst,SoilTMP0_10cm_inst,SoilTMP100_200cm_inst,SoilTMP10_40cm_inst,SoilTMP40_100cm_inst,Swnet_tavg,Tair_f_inst,Tveg_tavg,Wind_f_inst,X,Y,aet,constant,def,pdsi,pet,pr,soil,srad,swe,tmmn,tmmx,vap,vpd,vs,.geo
00000000000000000167,9.04967,284.47687,0.111353025,20.777542,7.884296,5055,2092.0,2225.0,2849.0,2911.0,2.6694885E-5,578.0,603.0,0,2,2,324.45264,-45.49521,462.0,819.0,631.0,681.0,8538,0.37423685,2.0,391.0,725.0,128.9517,94695.734,0.007247685,-0.21955833,22.834427,66.79333,0.016448654,0.17163444,4.5501374E-4,4.491978E-5,4.491978E-5,564.4342,0.08376717,147.94693,757.0,737.0,2.161401E-4,0.0,28.722336,278.36792,86.24367,171.1003,284.4875,284.52924,284.38474,284.44205,134.58772,284.61978,38.670128,4.664381,177.68676319884136,-38.05263543530293,691.25,1,47.166666666666664,-33.166666666666664,738.4166666666666,138.83333333333334,1050.8333333333333,1653.25,0.0,72.83333333333333,163.75,1115.75,36.166666666666664,498.0833333333333,"{""type"":""Point"",""coordinates"":[177.68676265613038,-38.05263511889214]}"
00000000000000000221,9.080456,289.8121,0.18122905,27.234797,18.997717,5760,2944.0,2298.0,3213.0,3642.0,4.117651E-5,270.0,600.0,0,2,2,348.28848,-50.502926,442.0,828.0,377.0,678.0,8231,0.6531632,2.0,377.0,730.0,144.4259,91136.77,0.011397046,-0.123926446,26.48431,103.02261,0.15457162,0.10639254,5.073489E-4,6.5847766E-5,6.584173E-5,822.5474,0.08458105,197.50175,400.0,786.0,2.2530906E-4,6.043956E-9,40.38855,415.77414,121.558655,244.82603,289.8282,289.87158,289.8514,289.87222,179.59254,289.8586,58.55504,2.8197036,-51.922623422108344,-26.985391134950426,868.5,1,3.1666666666666665,10.666666666666666,871.6666666666666,164.66666666666666,467.5,1705.75,0.0,101.16666666666667,218.5,1416.4166666666667,55.833333333333336,239.08333333333334,"{""type"":""Point"",""coordinates"":[-51.922624354625015,-26.98539155479741]}"
0000000000000000022b,9.999999,298.0982,0.28277886,46.224857,19.610481,5370,1351.0,1343.0,4782.0,5031.0,4.741676E-5,549.0,564.0,0,2,2,406.54373,-40.3961,790.0,740.0,586.0,644.0,7950,0.9226942,2.0,709.0,673.0,155.93823,98396.945,0.01675877,-0.19088386,17.719751,118.58793,0.044473235,0.27513117,0.0,7.589739E-5,7.589739E-5,784.89795,0.0,195.9821,730.0,692.0,0.0,0.0,37.62031,402.96896,113.59612,230.71255,298.17755,298.3606,298.2782,298.31604,176.38379,298.333,53.851112,1.0056583,-72.97913368186992,-7.653646220698324,825.75,1,0.0,47.25,825.75,156.66666666666666,1498.0,1466.8333333333333,0.0,202.75,303.6666666666667,2801.0833333333335,57.916666666666664,64.25,"{""type"":""Point"",""coordinates"":[-72.97913272134605,-7.65364563914504]}"
00000000000000000303,11.827692,298.2329,0.21778537,29.559162,23.432291,5478,1647.0,1578.0,3535.0,3543.0,3.1189527E-5,402.0,565.0,0,2,2,401.41904,-45.671146,513.0,701.0,419.0,580.0,8353,0.96046674,2.0,464.0,620.0,124.15693,96036.33,0.018300947,0.011420378,48.805634,78.00629,0.023228575,0.33175167,0.0,6.499475E-5,6.499475E-5,581.2639,0.0,195.96202,485.0,643.0,0.0,0.0,28.451078,292.97592,86.244774,173.59213,298.2755,298.22357,298.27094,298.2599,172.71681,296.9378,25.644709,1.1422998,13.83405537544063,-0.9701805068490833,876.75,1,41.583333333333336,-18.583333333333332,918.3333333333334,142.91666666666666,1566.3333333333333,1674.4166666666667,0.0,201.08333333333334,291.0,2581.3333333333335,62.833333333333336,68.0,"{""type"":""Point"",""coordinates"":[13.834053340343152,-0.9701799935013801]}"
0000000000000000035a,9.999999,298.02533,0.25842652,40.130802,19.970032,5314,1651.0,2150.0,3631.0,3272.0,4.453695E-5,407.0,573.0,0,2,2,398.90347,-45.906456,526.0,696.0,423.0,589.0,8819,0.92834324,2.0,490.0,657.0,154.23329,94659.37,0.017915385,-0.08741545,30.173744,111.38553,0.049326085,0.09984489,0.0,5.8232246E-5,5.8232246E-5,743.96606,0.0,207.90614,506.0,675.0,0.0,0.0,38.39343,365.40305,114.71602,225.4536,297.87915,297.93658,297.90704,297.92307,187.11557,297.79727,52.808517,0.8019495,26.410469353113932,2.1200240705220708,1003.75,1,84.33333333333333,-199.75,1088.0833333333333,146.58333333333334,1067.6666666666667,1988.75,0.0,191.41666666666666,301.0833333333333,2508.0833333333335,75.41666666666667,108.25,"{""type"":""Point"",""coordinates"":[26.41047073777453,2.1200260866482012]}"
0000000000000000037c,9.999999,299.3738,0.25652918,36.243954,20.478935,5770,2547.0,1378.0,3087.0,4105.0,4.147878E-5,394.0,565.0,0,2,2,405.76816,-47.13488,495.0,694.0,415.0,593.0,8509,1.0,2.0,465.0,645.0,145.68446,96498.27,0.019237932,0.13712439,33.388596,103.739395,0.016337335,0.21520993,0.0,6.288022E-5,6.288022E-5,624.7046,0.0,204.82358,478.0,665.0,0.0,0.0,29.69846,322.8306,89.83794,182.33757,299.23575,298.97104,299.13156,299.0723,184.34111,298.63135,47.920063,0.84569955,20.948712425667242,0.10779783409434258,1021.6666666666666,1,47.083333333333336,-251.41666666666666,1068.75,177.58333333333334,281.3333333333333,1957.0,0.0,203.75,304.4166666666667,2667.0,72.5,85.16666666666667,"{""type"":""Point"",""coordinates"":[20.948714057855025,0.10779876796705411]}"
00000000000000000387,11.0985985,299.04858,0.2453125,32.129765,17.34659,5554,1866.0,1356.0,3520.0,3782.0,3.5497837E-5,415.0,563.0,0,2,2,400.9879,-49.935684,478.0,724.0,440.0,585.0,8532,1.0,2.0,458.0,629.0,134.83923,96160.87,0.018935755,8.949557E-4,34.645073,88.78029,0.011318383,0.2847845,0.0,6.278218E-5,6.278218E-5,631.70526,0.0,194.78769,466.0,655.0,0.0,0.0,28.914963,333.72055,88.04598,181.02376,298.9463,298.8692,298.93472,298.9152,173.16975,298.51712,40.73209,0.8959742,19.65513841653513,-2.8386762978176883,998.5,1,43.75,141.75,1042.25,173.83333333333334,883.5833333333334,1861.75,0.0,208.75,302.0,2646.5833333333335,75.41666666666667,104.58333333333333,"{""type"":""Point"",""coordinates"":[19.655137760452483,-2.838677107926806]}"
0000000000000000023f,11.111119,294.79666,0.10812225,18.160553,4.640601,6129,4296.0,3871.0,1688.0,1796.0,2.0465282E-5,302.0,649.0,0,4,4,365.937,-59.50975,495.0,862.0,318.0,668.0,7869,1.0,2.0,394.0,719.0,174.58018,91421.38,0.013550453,-0.5411792,68.45534,51.227882,0.0023955116,0.0,1.1926511E-4,2.5408139E-5,2.540807E-5,278.7545,0.05679945,201.21884,414.0,755.0,1.4557005E-4,3.434066E-11,19.026358,109.75421,55.085724,94.88821,294.88107,295.60294,295.3159,295.44907,178.18735,293.68475,29.553713,2.7722106,-63.924115617945155,-21.020577648396802,651.75,1,544.0833333333334,162.83333333333334,1195.75,72.16666666666667,173.75,1881.75,0.0,168.08333333333334,293.5833333333333,1800.5833333333333,127.75,200.83333333333334,"{""type"":""Point"",""coordinates"":[-63.92411647593245,-21.02057693043236]}"
00000000000000000134,11.148918,294.47086,0.058929257,8.444358,25.935484,3221,1313.0,1471.0,1277.0,1282.0,2.0184101E-5,301.0,669.0,0,6,6,347.5163,-77.376854,742.0,742.0,315.0,687.0,5055,0.5565879,2.0,715.0,715.0,224.37447,97974.555,0.008670813,0.45648563,66.40904,50.482624,0.0029111917,0.0025814835,8.070055E-6,2.060522E-5,2.060522E-5,229.53131,0.0012534341,219.48434,727.0,726.0,3.2967032E-6,0.0,20.896198,252.73938,69.253845,139.38126,294.5345,294.16202,294.44574,294.3257,194.21745,293.02896,16.243406,3.2156172,149.5874611115827,-27.200986803139113,414.9166666666667,1,882.5833333333334,5.916666666666667,1297.5833333333333,43.583333333333336,23.166666666666668,2139.0,0.0,125.66666666666667,268.8333333333333,1271.5833333333333,133.08333333333334,253.5,"{""type"":""Point"",""coordinates"":[149.58746090357585,-27.200984631630472]}"
000000000000000002e5,17.43055,296.44482,0.09184718,8.840852,19.729086,4162,2811.0,2114.0,1615.0,1644.0,1.6693099E-5,312.0,665.0,0,7,7,344.8395,-87.67697,490.0,779.0,344.0,680.0,6859,0.5260347,2.0,434.0,709.0,230.06596,91004.08,0.010536559,-0.1964608,74.28336,41.75105,0.0013644745,0.06208622,0.0,2.4912672E-5,2.4912672E-5,234.42384,0.0,246.55812,455.0,721.0,0.0,0.0,18.34343,271.2965,70.12049,145.95992,296.37637,296.38052,296.30704,296.3536,203.01442,295.50177,13.647287,2.5646899,23.463995221201902,-20.230060198371625,356.3333333333333,1,1212.3333333333333,60.083333333333336,1568.4166666666667,37.5,12.583333333333334,2282.3333333333335,0.0,163.5,313.25,1364.8333333333333,192.91666666666666,258.3333333333333,"{""type"":""Point"",""coordinates"":[23.463994861880675,-20.230058577475372]}"
